YEAR,WEEK,Sunday
2005,5,1/30/2005
2005,6,2/6/2005
2005,7,2/13/2005
2005,8,2/20/2005
2005,9,2/27/2005
2005,10,3/6/2005
2005,11,3/13/2005
2005,12,3/20/2005
2005,13,3/27/2005
2005,14,4/3/2005
2005,15,4/10/2005
2005,16,4/17/2005
2005,17,4/24/2005
2005,18,5/1/2005
2005,19,5/8/2005
2005,20,5/15/2005
2005,21,5/22/2005
2005,22,5/29/2005
2005,23,6/5/2005
2005,24,6/12/2005
2005,25,6/19/2005
2005,26,6/26/2005
2005,27,7/3/2005
2005,28,7/10/2005
2005,29,7/17/2005
2005,30,7/24/2005
2005,31,7/31/2005
2005,32,8/7/2005
2005,33,8/14/2005
2005,34,8/21/2005
2005,35,8/28/2005
2005,36,9/4/2005
2005,37,9/11/2005
2005,38,9/18/2005
2005,39,9/25/2005
2005,40,10/2/2005
2005,41,10/9/2005
2005,42,10/16/2005
2005,43,10/23/2005
2005,44,10/30/2005
2005,45,11/6/2005
2005,46,11/13/2005
2005,47,11/20/2005
2005,48,11/27/2005
2005,49,12/4/2005
2005,50,12/11/2005
2005,51,12/18/2005
2005,52,12/25/2005
2006,1,1/1/2006
2006,2,1/8/2006
2006,3,1/15/2006
2006,4,1/22/2006
2006,5,1/29/2006
2006,6,2/5/2006
2006,7,2/12/2006
2006,8,2/19/2006
2006,9,2/26/2006
2006,10,3/5/2006
2006,11,3/12/2006
2006,12,3/19/2006
2006,13,3/26/2006
2006,14,4/2/2006
2006,15,4/9/2006
2006,16,4/16/2006
2006,17,4/23/2006
2006,18,4/30/2006
2006,19,5/7/2006
2006,20,5/14/2006
2006,21,5/21/2006
2006,22,5/28/2006
2006,23,6/4/2006
2006,24,6/11/2006
2006,25,6/18/2006
2006,26,6/25/2006
2006,27,7/2/2006
2006,28,7/9/2006
2006,29,7/16/2006
2006,30,7/23/2006
2006,31,7/30/2006
2006,32,8/6/2006
2006,33,8/13/2006
2006,34,8/20/2006
2006,35,8/27/2006
2006,36,9/3/2006
2006,37,9/10/2006
2006,38,9/17/2006
2006,39,9/24/2006
2006,40,10/1/2006
2006,41,10/8/2006
2006,42,10/15/2006
2006,43,10/22/2006
2006,44,10/29/2006
2006,45,11/5/2006
2006,46,11/12/2006
2006,47,11/19/2006
2006,48,11/26/2006
2006,49,12/3/2006
2006,50,12/10/2006
2006,51,12/17/2006
2006,52,12/24/2006
2007,1,12/31/2006
2007,2,1/7/2007
2007,3,1/14/2007
2007,4,1/21/2007
2007,5,1/28/2007
2007,6,2/4/2007
2007,7,2/11/2007
2007,8,2/18/2007
2007,9,2/25/2007
2007,10,3/4/2007
2007,11,3/11/2007
2007,12,3/18/2007
2007,13,3/25/2007
2007,14,4/1/2007
2007,15,4/8/2007
2007,16,4/15/2007
2007,17,4/22/2007
2007,18,4/29/2007
2007,19,5/6/2007
2007,20,5/13/2007
2007,21,5/20/2007
2007,22,5/27/2007
2007,23,6/3/2007
2007,24,6/10/2007
2007,25,6/17/2007
2007,26,6/24/2007
2007,27,7/1/2007
2007,28,7/8/2007
2007,29,7/15/2007
2007,30,7/22/2007
2007,31,7/29/2007
2007,32,8/5/2007
2007,33,8/12/2007
2007,34,8/19/2007
2007,35,8/26/2007
2007,36,9/2/2007
2007,37,9/9/2007
2007,38,9/16/2007
2007,39,9/23/2007
2007,40,9/30/2007
2007,41,10/7/2007
2007,42,10/14/2007
2007,43,10/21/2007
2007,44,10/28/2007
2007,45,11/4/2007
2007,46,11/11/2007
2007,47,11/18/2007
2007,48,11/25/2007
2007,49,12/2/2007
2007,50,12/9/2007
2007,51,12/16/2007
2007,52,12/23/2007
2008,1,12/30/2007
2008,2,1/6/2008
2008,3,1/13/2008
2008,4,1/20/2008
2008,5,1/27/2008
2008,6,2/3/2008
2008,7,2/10/2008
2008,8,2/17/2008
2008,9,2/24/2008
2008,10,3/2/2008
2008,11,3/9/2008
2008,12,3/16/2008
2008,13,3/23/2008
2008,14,3/30/2008
2008,15,4/6/2008
2008,16,4/13/2008
2008,17,4/20/2008
2008,18,4/27/2008
2008,19,5/4/2008
2008,20,5/11/2008
2008,21,5/18/2008
2008,22,5/25/2008
2008,23,6/1/2008
2008,24,6/8/2008
2008,25,6/15/2008
2008,26,6/22/2008
2008,27,6/29/2008
2008,28,7/6/2008
2008,29,7/13/2008
2008,30,7/20/2008
2008,31,7/27/2008
2008,32,8/3/2008
2008,33,8/10/2008
2008,34,8/17/2008
2008,35,8/24/2008
2008,36,8/31/2008
2008,37,9/7/2008
2008,38,9/14/2008
2008,39,9/21/2008
2008,40,9/28/2008
2008,41,10/5/2008
2008,42,10/12/2008
2008,43,10/19/2008
2008,44,10/26/2008
2008,45,11/2/2008
2008,46,11/9/2008
2008,47,11/16/2008
2008,48,11/23/2008
2008,49,11/30/2008
2008,50,12/7/2008
2008,51,12/14/2008
2008,52,12/21/2008
2008,53,12/28/2008
2009,1,1/4/2009
2009,2,1/11/2009
2009,3,1/18/2009
2009,4,1/25/2009
2009,5,2/1/2009
2009,6,2/8/2009
2009,7,2/15/2009
2009,8,2/22/2009
2009,9,3/1/2009
2009,10,3/8/2009
2009,11,3/15/2009
2009,12,3/22/2009
2009,13,3/29/2009
2009,14,4/5/2009
2009,15,4/12/2009
2009,16,4/19/2009
2009,17,4/26/2009
2009,18,5/3/2009
2009,19,5/10/2009
2009,20,5/17/2009
2009,21,5/24/2009
2009,22,5/31/2009
2009,23,6/7/2009
2009,24,6/14/2009
2009,25,6/21/2009
2009,26,6/28/2009
2009,27,7/5/2009
2009,28,7/12/2009
2009,29,7/19/2009
2009,30,7/26/2009
2009,31,8/2/2009
2009,32,8/9/2009
2009,33,8/16/2009
2009,34,8/23/2009
2009,35,8/30/2009
2009,36,9/6/2009
2009,37,9/13/2009
2009,38,9/20/2009
2009,39,9/27/2009
2009,40,10/4/2009
2009,41,10/11/2009
2009,42,10/18/2009
2009,43,10/25/2009
2009,44,11/1/2009
2009,45,11/8/2009
2009,46,11/15/2009
2009,47,11/22/2009
2009,48,11/29/2009
2009,49,12/6/2009
2009,50,12/13/2009
2009,51,12/20/2009
2009,52,12/27/2009
2010,1,1/3/2010
2010,2,1/10/2010
2010,3,1/17/2010
2010,4,1/24/2010
2010,5,1/31/2010
2010,6,2/7/2010
2010,7,2/14/2010
2010,8,2/21/2010
2010,9,2/28/2010
2010,10,3/7/2010
2010,11,3/14/2010
2010,12,3/21/2010
2010,13,3/28/2010
2010,14,4/4/2010
2010,15,4/11/2010
2010,16,4/18/2010
2010,17,4/25/2010
2010,18,5/2/2010
2010,19,5/9/2010
2010,20,5/16/2010
2010,21,5/23/2010
2010,22,5/30/2010
2010,23,6/6/2010
2010,24,6/13/2010
2010,25,6/20/2010
2010,26,6/27/2010
2010,27,7/4/2010
2010,28,7/11/2010
2010,29,7/18/2010
2010,30,7/25/2010
2010,31,8/1/2010
2010,32,8/8/2010
2010,33,8/15/2010
2010,34,8/22/2010
2010,35,8/29/2010
2010,36,9/5/2010
2010,37,9/12/2010
2010,38,9/19/2010
2010,39,9/26/2010
2010,40,10/3/2010
2010,41,10/10/2010
2010,42,10/17/2010
2010,43,10/24/2010
2010,44,10/31/2010
2010,45,11/7/2010
2010,46,11/14/2010
2010,47,11/21/2010
2010,48,11/28/2010
2010,49,12/5/2010
2010,50,12/12/2010
2010,51,12/19/2010
2010,52,12/26/2010
2011,1,1/2/2011
2011,2,1/9/2011
2011,3,1/16/2011
2011,4,1/23/2011
2011,5,1/30/2011
2011,6,2/6/2011
2011,7,2/13/2011
2011,8,2/20/2011
2011,9,2/27/2011
2011,10,3/6/2011
2011,11,3/13/2011
2011,12,3/20/2011
2011,13,3/27/2011
2011,14,4/3/2011
2011,15,4/10/2011
2011,16,4/17/2011
2011,17,4/24/2011
2011,18,5/1/2011
2011,19,5/8/2011
2011,20,5/15/2011
2011,21,5/22/2011
2011,22,5/29/2011
2011,23,6/5/2011
2011,24,6/12/2011
2011,25,6/19/2011
2011,26,6/26/2011
2011,27,7/3/2011
2011,28,7/10/2011
2011,29,7/17/2011
2011,30,7/24/2011
2011,31,7/31/2011
2011,32,8/7/2011
2011,33,8/14/2011
2011,34,8/21/2011
2011,35,8/28/2011
2011,36,9/4/2011
2011,37,9/11/2011
2011,38,9/18/2011
2011,39,9/25/2011
2011,40,10/2/2011
2011,41,10/9/2011
2011,42,10/16/2011
2011,43,10/23/2011
2011,44,10/30/2011
2011,45,11/6/2011
2011,46,11/13/2011
2011,47,11/20/2011
2011,48,11/27/2011
2011,49,12/4/2011
2011,50,12/11/2011
2011,51,12/18/2011
2011,52,12/25/2011
2012,1,1/1/2012
2012,2,1/8/2012
2012,3,1/15/2012
2012,4,1/22/2012
2012,5,1/29/2012
2012,6,2/5/2012
2012,7,2/12/2012
2012,8,2/19/2012
2012,9,2/26/2012
2012,10,3/4/2012
2012,11,3/11/2012
2012,12,3/18/2012
2012,13,3/25/2012
2012,14,4/1/2012
2012,15,4/8/2012
2012,16,4/15/2012
2012,17,4/22/2012
2012,18,4/29/2012
2012,19,5/6/2012
2012,20,5/13/2012
2012,21,5/20/2012
2012,22,5/27/2012
2012,23,6/3/2012
2012,24,6/10/2012
2012,25,6/17/2012
2012,26,6/24/2012
2012,27,7/1/2012
2012,28,7/8/2012
2012,29,7/15/2012
2012,30,7/22/2012
2012,31,7/29/2012
2012,32,8/5/2012
2012,33,8/12/2012
2012,34,8/19/2012
2012,35,8/26/2012
2012,36,9/2/2012
2012,37,9/9/2012
2012,38,9/16/2012
2012,39,9/23/2012
2012,40,9/30/2012
2012,41,10/7/2012
2012,42,10/14/2012
2012,43,10/21/2012
2012,44,10/28/2012
2012,45,11/4/2012
2012,46,11/11/2012
2012,47,11/18/2012
2012,48,11/25/2012
2012,49,12/2/2012
2012,50,12/9/2012
2012,51,12/16/2012
2012,52,12/23/2012
2013,1,12/30/2012
2013,2,1/6/2013
2013,3,1/13/2013
2013,4,1/20/2013
2013,5,1/27/2013
2013,6,2/3/2013
2013,7,2/10/2013
2013,8,2/17/2013
2013,9,2/24/2013
2013,10,3/3/2013
2013,11,3/10/2013
2013,12,3/17/2013
2013,13,3/24/2013
2013,14,3/31/2013
2013,15,4/7/2013
2013,16,4/14/2013
2013,17,4/21/2013
2013,18,4/28/2013
2013,19,5/5/2013
2013,20,5/12/2013
2013,21,5/19/2013
2013,22,5/26/2013
2013,23,6/2/2013
2013,24,6/9/2013
2013,25,6/16/2013
2013,26,6/23/2013
2013,27,6/30/2013
2013,28,7/7/2013
2013,29,7/14/2013
2013,30,7/21/2013
2013,31,7/28/2013
2013,32,8/4/2013
2013,33,8/11/2013
2013,34,8/18/2013
2013,35,8/25/2013
2013,36,9/1/2013
2013,37,9/8/2013
2013,38,9/15/2013
2013,39,9/22/2013
2013,40,9/29/2013
2013,41,10/6/2013
2013,42,10/13/2013
2013,43,10/20/2013
2013,44,10/27/2013
2013,45,11/3/2013
2013,46,11/10/2013
2013,47,11/17/2013
2013,48,11/24/2013
2013,49,12/1/2013
2013,50,12/8/2013
2013,51,12/15/2013
2013,52,12/22/2013
2014,1,12/29/2013
2014,2,1/5/2014
2014,3,1/12/2014
2014,4,1/19/2014
2014,5,1/26/2014
2014,6,2/2/2014
2014,7,2/9/2014
2014,8,2/16/2014
2014,9,2/23/2014
2014,10,3/2/2014
2014,11,3/9/2014
2014,12,3/16/2014
2014,13,3/23/2014
2014,14,3/30/2014
2014,15,4/6/2014
2014,16,4/13/2014
2014,17,4/20/2014
2014,18,4/27/2014
2014,19,5/4/2014
2014,20,5/11/2014
2014,21,5/18/2014
2014,22,5/25/2014
2014,23,6/1/2014
2014,24,6/8/2014
2014,25,6/15/2014
2014,26,6/22/2014
2014,27,6/29/2014
2014,28,7/6/2014
2014,29,7/13/2014
2014,30,7/20/2014
2014,31,7/27/2014
2014,32,8/3/2014
2014,33,8/10/2014
2014,34,8/17/2014
2014,35,8/24/2014
2014,36,8/31/2014
2014,37,9/7/2014
2014,38,9/14/2014
2014,39,9/21/2014
2014,40,9/28/2014
2014,41,10/5/2014
2014,42,10/12/2014
2014,43,10/19/2014
2014,44,10/26/2014
2014,45,11/2/2014
2014,46,11/9/2014
2014,47,11/16/2014
2014,48,11/23/2014
2014,49,11/30/2014
2014,50,12/7/2014
2014,51,12/14/2014
2014,52,12/21/2014
2014,53,12/28/2014
2015,1,1/4/2015
2015,2,1/11/2015
2015,3,1/18/2015
2015,4,1/25/2015
2015,5,2/1/2015
2015,6,2/8/2015
2015,7,2/15/2015
2015,8,2/22/2015
2015,9,3/1/2015
2015,10,3/8/2015
2015,11,3/15/2015
2015,12,3/22/2015
2015,13,3/29/2015
2015,14,4/5/2015
2015,15,4/12/2015
2015,16,4/19/2015
2015,17,4/26/2015
2015,18,5/3/2015
2015,19,5/10/2015
2015,20,5/17/2015
2015,21,5/24/2015
2015,22,5/31/2015
2015,23,6/7/2015
2015,24,6/14/2015
2015,25,6/21/2015
2015,26,6/28/2015
2015,27,7/5/2015
2015,28,7/12/2015
2015,29,7/19/2015
2015,30,7/26/2015
2015,31,8/2/2015
2015,32,8/9/2015
2015,33,8/16/2015
2015,34,8/23/2015
2015,35,8/30/2015
2015,36,9/6/2015
2015,37,9/13/2015
2015,38,9/20/2015
2015,39,9/27/2015
2015,40,10/4/2015
2015,41,10/11/2015
2015,42,10/18/2015
2015,43,10/25/2015
